SampleId,Area_Name,Area_Code,Latitude,Longitude,Year,Month,Day,Hour,Minute,PCI
451A--1,4.b,2,57.4933,-1.645,1986,12,10,5,43,0
451C--11,4.b,2,54.8683,2.5767,1978,3,25,18,53,1
451C--25,4.b,2,56.48,5.5633,1978,3,26,3,52,1
451LR-13,4.a,3,57.5483,-1.6617,2001,10,26,13,55,1
452A--7,4.a,3,58.495,-1.4383,1987,1,21,1,22,0
452A--11,4.a,3,59.1567,-1.2983,1987,1,20,22,29,0
452C--23,4.b,2,56.2467,5.1483,1978,4,15,13,39,6.5
453A--5,4.a,3,58.1583,-1.6283,1987,2,11,3,13,0
453A--13,4.a,3,59.4917,-1.585,1987,2,10,21,25,0
453C--1,4.b,2,53.7017,0.4833,1978,5,12,22,46,1
453C--21,4.b,2,56.0017,4.6683,1978,5,13,12,5,0
453LR-5,4.a,3,58.6867,-3.0633,2001,12,7,21,27,1
454A--3,4.a,3,57.825,-1.5767,1987,3,11,4,32,0
454A--9,4.a,3,58.82,-1.37,1987,3,11,0,5,0
455A--1,4.b,2,57.4917,-1.645,1987,4,22,4,38,1
455A--7,4.a,3,58.4867,-1.44,1987,4,22,0,19,6.5
455A--15,4.a,3,59.8117,-1.1583,1987,4,21,18,35,6.5
455C--17,4.b,2,56.8133,6.1667,1978,7,12,3,5,0
456A--9,4.a,3,58.8183,-1.37,1987,5,24,22,54,1
458A--3,4.a,3,57.8233,-1.5767,1987,7,15,3,12,2
458C--5,4.b,2,54.3583,0.9533,1978,11,29,0,25,2
458C--25,4.b,2,57.2717,3.835,1978,11,29,16,51,1
459BA-41,7.d,4,50.385,-1.702,2009,7,5,12,0,1
459C--7,4.b,2,54.655,1.2317,1978,12,13,0,38,0
459C--15,4.b,2,55.8217,2.36,1978,12,13,8,25,0
459C--27,4.a,3,57.5717,4.1183,1978,12,13,20,8,0
459LR-11,4.a,3,57.8615,-2.0238,2002,4,26,14,57,6.5
459LR-17,4.b,2,56.935,-1.3644,2002,4,26,10,48,2
459LR-35,4.b,2,54.0608,0.1506,2002,4,25,23,1,1
459R--6,4.c,1,52.0988,3.3063,2002,7,19,14,49,6.5
45KC-21,4.b,2,55.878,2.285,2016,8,14,1,54,2
45LE-3,4.b,2,55.0517,-0.2267,1983,7,25,23,28,0
45LE-13,4.b,2,55.1783,2.6717,1983,7,26,4,55,0
45LE-23,4.b,2,55.305,5.5817,1983,7,26,10,20,1
45LG-9,4.c,1,53.2317,3.125,1985,1,20,0,30,0
45LG-19,4.b,2,54.5633,4.8217,1985,1,19,18,12,0
45LG-29,4.b,2,55.8967,6.5733,1985,1,19,11,55,0
460A--1,4.b,2,57.4933,-1.6483,1987,8,26,4,47,1
460C--3,4.b,2,53.9533,0.6183,1979,1,9,18,54,0
460LR-11,4.a,3,57.7762,-1.9365,2002,5,10,15,49,1
460LR-17,4.b,2,56.8387,-1.3226,2002,5,10,11,43,2
460LR-27,4.b,2,55.2414,-0.4722,2002,5,10,4,51,1
461A--15,4.a,3,59.8167,-1.1567,1987,9,15,18,33,0
461C--17,4.b,2,55.4,3.5733,1979,4,13,9,54,1
461C--37,4.a,3,58.6017,5.275,1979,4,14,1,41,0
461LR-19,4.b,2,56.5945,-2.118,2002,6,7,16,14,1
461LR-37,4.b,2,53.9786,0.1599,2002,6,7,3,11,1
461R--2,4.c,1,52.0499,2.1748,2002,8,17,16,53,2
462A--3,4.a,3,57.82,-1.5783,1987,10,21,3,28,0
462C--11,4.b,2,55.255,1.6933,1979,5,9,4,39,0
462LR-9,4.a,3,58.1179,-2.3432,2002,7,5,20,22,2
462LR-17,4.b,2,56.9095,-1.3551,2002,7,5,15,0,1
462M--9,4.a,3,57.782,0.49,2018,7,8,15,45,1
462R--7,4.c,1,52.1245,3.4811,2002,9,13,7,8,1
463A--3,4.a,3,57.8283,-1.5767,1987,11,11,4,3,0
463A--15,4.a,3,59.8167,-1.1567,1987,11,10,19,36,0
463C--9,4.b,2,54.9567,1.5033,1979,6,13,2,11,0
463M--5,4.a,3,57.508,-0.667,2018,8,12,18,4,1
463M--25,4.a,3,58.787,5.167,2018,8,13,8,22,1
463R--2,4.c,1,52.1989,2.0325,2002,10,18,7,40,1
464A--9,4.a,3,58.8167,-1.37,1987,12,27,23,56,0
464LR-27,4.b,2,55.3075,-0.4878,2002,9,13,5,49,0
464M--11,4.a,3,57.922,1.072,2018,9,9,16,11,1
464M--19,4.a,3,58.437,3.405,2018,9,9,22,5,1
465A--15,4.a,3,59.8133,-1.1567,1988,1,12,19,58,0
465C--15,4.b,2,55.875,1.72,1979,8,22,6,44,1
465C--33,4.a,3,58.69,3.635,1979,8,22,20,24,0
465LR-11,4.a,3,57.8431,-2.0021,2002,10,11,14,49,1
465LR-19,4.b,2,56.5933,-1.1859,2002,10,11,9,37,1
465M--7,4.a,3,57.66,-0.073,2018,10,15,15,11,1
465M--15,4.a,3,58.202,2.22,2018,10,15,21,4,1
465M--23,4.a,3,58.702,4.585,2018,10,16,2,58,1
466A--1,4.b,2,57.49,-1.645,1988,2,17,5,44,0
466C--23,4.b,2,57.07,3.57,1979,10,3,15,0,6.5
466C--31,4.a,3,58.2383,4.7667,1979,10,3,21,42,6.5
466LR-5,4.a,3,58.6747,-3.0309,2002,11,9,0,40,1
466LR-29,4.b,2,54.9915,-0.3394,2002,11,8,8,22,1
466M--5,4.a,3,57.528,-0.577,2018,11,12,7,10,1
466M--21,4.a,3,58.567,4.065,2018,11,12,18,3,1
466R--7,4.c,1,52.119,3.5329,2003,1,16,16,7,1
467BA-43,7.d,4,50.365,-1.795,2010,2,14,22,28,0
467C--19,4.b,2,56.58,2.795,1979,12,4,18,38,0
467C--29,4.a,3,58.0683,4.1817,1979,12,4,7,0,0
467LR-13,4.a,3,57.5915,-1.7195,2002,12,6,16,13,1
467M--15,4.a,3,58.197,2.237,2018,12,12,16,1,1
467M--23,4.a,3,58.683,4.608,2018,12,12,21,48,1
